UnitID,Institution Name,Total price for in-district students living on campus  2024-25 (DRVCOST2024),Total price for in-state students living on campus 2024-25 (DRVCOST2024),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024),State abbreviation (HD2024),
418427,Chester County Intermediate Unit,,,,,,,PA,
211583,Chestnut Hill College,58470,58470,67987,67987,51006,51006,PA,
211608,Cheyney University of Pennsylvania,26924,26924,31574,31574,19554,19554,PA,
211635,Citizens School of Nursing,,,,,,,PA,
211024,Clarks Summit University,,,,,,,PA,
430908,Clearfield County Career and Technology Center,,,,,,,PA,
212975,Commonwealth Technical Institute,20876,20876,25858,25858,14818,14818,PA,
498562,Commonwealth University of Pennsylvania,27454,27454,26634,26634,22944,22944,PA,
210605,Community College of Allegheny County,,,24122,28083,15812,19773,PA,
211079,Community College of Beaver County,,,23010,29850,14235,21075,PA,
215239,Community College of Philadelphia,,,25378,29434,20428,24484,PA,
215044,Cortiva Institute,,,,,,,PA,
419484,Crawford County Career and Technical Center Practical Nursing Program,,,,,,,PA,
211893,Curtis Institute of Music,28457,28457,28312,28312,29730,29730,PA,
498818,Cutting Edge Barber Academy,,,,,,,PA,
211927,Delaware County Community College,,,20930,25250,18231,22551,PA,
430971,Delaware County Technical School-Practical Nursing Program,,,,,,,PA,
211981,Delaware Valley University,62966,62966,62966,62966,51510,51510,PA,
210739,DeSales University,65562,65562,65039,65039,57788,57788,PA,
212009,Dickinson College,86092,86092,86092,86092,79428,79428,PA,
211802,DLP Conemaugh Memorial Medical Center,,,,,,,PA,
212045,Douglas Education Center,,,38787,38787,34235,34235,PA,
212054,Drexel University,83708,83708,85040,85040,72476,72476,PA,
212106,Duquesne University,70847,70847,81163,81163,60373,60373,PA,
212115,East Stroudsburg University of Pennsylvania,29929,29929,34441,34441,30266,30266,PA,
375966,Eastern Center for Arts and Technology,,,,,,,PA,
212133,Eastern University,57278,57278,56388,56388,54756,54756,PA,
212197,Elizabethtown College,53440,53440,48544,48544,42528,42528,PA,
212328,Empire Beauty  School-Lehigh Valley,,,,,,,PA,
375984,Empire Beauty School-Center City Philadelphia,,,,,,,PA,
485397,Empire Beauty School-Cheltenham,,,,,,,PA,
415039,Empire Beauty School-Hanover,,,,,,,PA,
212382,Empire Beauty School-Harrisburg,,,,,,,PA,
212276,Empire Beauty School-Lancaster,,,,,,,PA,
212230,Empire Beauty School-Lebanon,,,,,,,PA,
430227,Empire Beauty School-Monroeville,,,,,,,PA,
212753,Empire Beauty School-NE Philadelphia,,,,,,,PA,
450605,Empire Beauty School-North Hills,,,,,,,PA,
212300,Empire Beauty School-Pottsville,,,,,,,PA,
212391,Empire Beauty School-Reading,,,,,,,PA,
