"Sector","College","Type","County","zip code","Address","Latitude","Longitude","Georeferenced Latitude & Longitude","Sector and Type"
"Community College","Erie CC-Corry","Off-Campus Operation","Erie","16407","221 North Center Street, Corry, PA 16407","41.9238101","-79.6415237","POINT (-79.6415237 41.9238101)","Community College - Off-Campus"
"Private College/University","Messiah University","Main Campus Location","Cumberland","17055","One College Ave., Mechanicsburg, PA 17055","40.20372","-77.004871","POINT (-77.004871 40.20372)","Private College/University - Main Campus"
"Private College/University","Johnson College","Main Campus Location","Lackawanna","18508","3427 N Main Ave, Scranton, PA 18508","41.4492937","-75.6395236","POINT (-75.6395236 41.4492937)","Private College/University - Main Campus"
"State-Related Commonwealth University","Temple University-Ambler","Off-Campus Operation","Bucks","19002","580 Meetinghouse Road, Ambler, PA 19002","40.165113","-75.193953","POINT (-75.193953 40.165113)","State-Related Commonwealth University - Off-Campus"
"Private College/University","Waynesburg University","Main Campus Location","Greene","15370","51 W College St, Waynesburg, PA 15370","39.8992735","-80.1842403","POINT (-80.1842403 39.8992735)","Private College/University - Main Campus"
"Private College/University","Lehigh University","Main Campus Location","Northampton","18015","27 Memorial Dr W, Bethlehem, PA 18015","40.6073257","-75.378565","POINT (-75.378565 40.6073257)","Private College/University - Main Campus"
"Community College","CCP-Northeast","Off-Campus Operation","Philadelphia","19154","12901 Townsend Road, Philadelphia PA 19154","40.1060705","-74.9779168","POINT (-74.9779168 40.1060705)","Community College - Off-Campus"
"PASSHE","Commonwealth University-Lock Haven","Main Campus Location","Clinton","17745","401 N Fairview St, Lock Haven, PA 17745","41.140913","-77.4624846","POINT (-77.4624846 41.140913)","PASSHE - Main Campus"
"State-Related Commonwealth University","Penn State Erie","Branch Campus","Erie","16563","4701 College Drive, Erie, PA 16563","42.11916357","-79.98381962","POINT (-79.98381962 42.11916357)","State-Related Commonwealth University - Branch Campus"
"Community College","HACC","Main Campus Location","Dauphin","17110","1 HACC Drive, Harrisburg, PA 17110","40.290787","-76.884836","POINT (-76.884836 40.290787)","Community College - Main Campus"
"Private College/University","Saint Joseph's University","Main Campus Location","Philadelphia","19131","5600 City Avenue, Philadelphia, PA 19131","39.9965296","-75.2415117","POINT (-75.2415117 39.9965296)","Private College/University - Main Campus"
"Community College","CCAC-Boyce","Off-Campus Operation","Allegheny","15146","595 Beatty Road, Monroeville, PA 15146","40.4517436","-79.7556117","POINT (-79.7556117 40.4517436)","Community College - Off-Campus"
"Rural Regional College","NPRC-Girard","Off-Campus Operation","Erie","16417",,,,,"Rural Regional College - Off-Campus"
"State-Related Commonwealth University","Penn State Hazleton","Branch Campus","Luzerne","18202","76 University Dr, Hazleton, PA 18202","40.984762","-76.030509","POINT (-76.030509 40.984762)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Chatham University","Main Campus Location","Allegheny","15232","107 Woodland Rd, Pittsburgh, PA 15232","40.4490574","-79.9243127","POINT (-79.9243127 40.4490574)","Private College/University - Main Campus"
"Private College/University","La Salle University","Main Campus Location","Philadelphia","19141","1900 West Olney Avenue Philadelphia, PA 19141","40.039232","-75.153013","POINT (-75.153013 40.039232)","Private College/University - Main Campus"
"Community College","Westmoreland CC-Public Safety","Off-Campus Operation","Westmoreland","15479","65 Public Safety Drive Smithton, PA 15479","40.18273506","-79.76632439","POINT (-79.76632439 40.18273506)","Community College - Off-Campus"
"Private College/University","String Theory School of Design","Main Campus Location","Philadelphia","19102","1600 Vine St #8th, Philadelphia, PA 19102","39.9577831","-75.16675411","POINT (-75.16675411 39.9577831)","Private College/University - Main Campus"
"Private College/University","Geneva College","Main Campus Location","Beaver","15010","3200 College Ave, Beaver Falls, PA 15010","40.7710885","-80.3217135","POINT (-80.3217135 40.7710885)","Private College/University - Main Campus"
"Private College/University","Lancaster Bible College","Main Campus Location","Lancaster","17601","901 Eden Rd, Lancaster, PA 17601","40.0736351","-76.2881605","POINT (-76.2881605 40.0736351)","Private College/University - Main Campus"
"Community College","Westmoreland CC-Fayette Center","Off-Campus Operation","Fayette","15401","140 N Beeson Ave, Uniontown, PA 15401","39.905593","-79.725478","POINT (-79.725478 39.905593)","Community College - Off-Campus"
"State-Related Commonwealth University","Penn State Beaver","Branch Campus","Beaver","15061","100 University Drive, Monaca, PA 15061","40.676895","-80.292966","POINT (-80.292966 40.676895)","State-Related Commonwealth University - Branch Campus"
"Community College","Bucks CC-Upper Bucks","Branch Campus","Bucks","18944","1 Hillendale Road, Perkasie, PA 18944","40.381011","-75.2752751","POINT (-75.2752751 40.381011)","Community College - Branch Campus"
"Private College/University","Respect Graduate School","Main Campus Location","Lehigh","18017","2200 Industrial Dr, Bethlehem, PA 18017","40.6461635","-75.4245992","POINT (-75.4245992 40.6461635)","Private College/University - Main Campus"
"Private College/University","Dickinson College","Main Campus Location","Cumberland","17013","28 N College St, Carlisle, PA 17013","40.2025714","-77.1964803","POINT (-77.1964803 40.2025714)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State Schuylkill","Branch Campus","Schuylkill","17972","200 University Dr, Schuylkill Haven, PA 17972","40.641957","-76.167358","POINT (-76.167358 40.641957)","State-Related Commonwealth University - Branch Campus"
"Rural Regional College","NPRC-Parkside","Off-Campus Operation","Crawford","16335",,,,,"Rural Regional College - Off-Campus"
"Community College","Luzerne CC-Watsontown","Off-Campus Operation","Northumberland","17777","1100 Main Streeet, Watsontown, PA 17777","41.091295","-76.870345","POINT (-76.870345 41.091295)","Community College - Off-Campus"
"Private College/University","Muhlenberg College","Main Campus Location","Lehigh","18104","2400 W Chew St, Allentown, PA 18104","40.5967637","-75.5124062","POINT (-75.5124062 40.5967637)","Private College/University - Main Campus"
"Community College","Westmoreland CC-Indiana","Off-Campus Operation","Indiana","15701","439 Hamill Rd, Indiana, PA 15701","40.641826","-79.1251819","POINT (-79.1251819 40.641826)","Community College - Off-Campus"
"Private College/University","Harrisburg University of Science and Technology","Main Campus Location","Dauphin","17101","326 Market St, Harrisburg, PA 17101","40.2619389","-76.8803467","POINT (-76.8803467 40.2619389)","Private College/University - Main Campus"
"Private College/University","Saint Vincent College","Main Campus Location","Westmoreland","15650","300 Fraser Purchase Rd, Latrobe, PA 15650","40.290718","-79.401093","POINT (-79.401093 40.290718)","Private College/University - Main Campus"
"Private College/University","University of Scranton","Main Campus Location","Lackawanna","18510","800 Linden St, Scranton, PA 18510","41.4064465","-75.6577497","POINT (-75.6577497 41.4064465)","Private College/University - Main Campus"
"Private College/University","Lake Erie College of Osteopathic Medicine","Main Campus Location","Erie","16509","1858 W Grandview Blvd, Erie, PA 16509","42.0806141","-80.1058359","POINT (-80.1058359 42.0806141)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State University Dickinson Law","Branch Campus","Cumberland","17013","150 S College St, Carlisle, PA 17013","40.1993396","-77.196738","POINT (-77.196738 40.1993396)","State-Related Commonwealth University - Branch Campus"
"Community College","Butler CC-Cranberry","Off-Campus Operation","Butler","16006","250 Executive Drive, Cranberry Township, PA 16006","40.690111","-80.1105578","POINT (-80.1105578 40.690111)","Community College - Off-Campus"
"Community College","Nothampton Community College","Main Campus Location","Northampton","18020","3835 Green Pond Road, Bethlehem, PA 18020","40.6747335","-75.3264767","POINT (-75.3264767 40.6747335)","Community College - Main Campus"
"Community College","Community College of Allegheny County","Main Campus Location","Allegheny","15212","808 Ridge Avenue, Pittsburgh, PA 15212","40.4506655","-80.0139101","POINT (-80.0139101 40.4506655)","Community College - Main Campus"
"Rural Regional College","NPRC-ETC Erie","Off-Campus Operation","Erie","16506",,,,,"Rural Regional College - Off-Campus"
"Community College","HACC-Lancaster","Branch Campus","Lancaster","17602","1641 Old Philadelphia Pike, Lancaster, PA 17602","40.04066649","-76.26835395","POINT (-76.26835395 40.04066649)","Community College - Branch Campus"
"Rural Regional College","Northern Pennsylvania Regional College","Main Campus Location","Warren","16365","300 2nd Avenue, Warren, PA 16365","41.845135","-79.146255","POINT (-79.146255 41.845135)","Rural Regional College - Main Campus"
"Community College","Luzerne CC-Hazleton","Off-Campus Operation","Luzerne","18201","100 West Broad Street, Hazleton, PA 18201","40.954434","-75.975885","POINT (-75.975885 40.954434)","Community College - Off-Campus"
"Private College/University","Alvernia University","Main Campus Location","Berks","19607","400 St Bernardine St, Reading, PA 19607","40.30983722","-75.93588418","POINT (-75.93588418 40.30983722)","Private College/University - Main Campus"
"Private College/University","Thomas Jefferson University","Main Campus Location","Philadelphia","19144","4201 Henry Ave, Philadelphia, PA 19144","40.0200574","-75.1928891","POINT (-75.1928891 40.0200574)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State Lehigh Valley","Branch Campus","Lehigh","18034","2809 Saucon Valley Rd, Center Valley, PA 18034","40.5590921","-75.4026812","POINT (-75.4026812 40.5590921)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Central Penn College","Main Campus Location","Cumberland","17093","600 Valley Rd, Summerdale, PA 17093","40.306468","-76.930026","POINT (-76.930026 40.306468)","Private College/University - Main Campus"
"Private College/University","Chestnut Hill College","Main Campus Location","Philadelphia","19118","9601 Germantown Ave #20, Philadelphia, PA 19118","40.08733503","-75.22783274","POINT (-75.22783274 40.08733503)","Private College/University - Main Campus"
"Private College/University","Peirce College","Main Campus Location","Philadelphia","19103","1608 Walnut St Suite 1900, Philadelphia, PA 19103","39.949696","-75.1677965","POINT (-75.1677965 39.949696)","Private College/University - Main Campus"
