Category,Institution,Type (HigherEducationBySector),County,zip code (HigherEducationBySector),Address (HigherEducationBySector),Latitude (HigherEducationBySector),Longitude (HigherEducationBySector),Sector and Type (HigherEducationBySector),City (HigherEducationInstitutions),Total price for in-district students living on campus  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living on campus 2024-25 (DRVCOST2024) (Cost),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024) (Cost),State abbreviation (HD2024) (Cost),Distance to Philly (Latitude),Distance to Philly (Longitude),Distance to Pittsburgh (Latitude),Distance to Pittsburgh (Longitude),Distance to Allentown (Latitude),Distance to Allentown (Longitude),Distance to Reading (Latitude),Distance to Reading (Longitude),Distance to Erie (Latitude),Distance to Erie (Longitude),North,East,South,West,Central
Rural Regional College,NPRC-West Forest,Off-Campus Operation,Forest,16353.0,,,,Rural Regional College - Off-Campus,,,,,,,,,,,,,,,,,,,1,0,0,1,0
Community College,Erie County Community College,Main Campus Location,Erie,16505.0,"2403 W 8th St., Erie PA 16505",42.1071661,-80.1369863,Community College - Main Campus,,,,,,,,,2.154566100000004,-4.9723663000000045,1.6684661000000034,-0.13978629999999725,1.504866100000001,-4.665586300000001,1.7701660999999973,-4.215586299999998,-0.021833899999997186,-0.05198630000001003,1,0,0,1,0
Rural Regional College,NPRC-Corry,Off-Campus Operation,Erie,16407.0,,,,Rural Regional College - Off-Campus,,,,,,,,,,,,,,,,,,,1,0,0,1,0
Private College/University,King's College,Main Campus Location,Luzerne,18702.0,"133 North River Street, Wilkes-Barre, PA 18702",41.2503754,-75.8798525,Private College/University - Main Campus,,,,,,,,,1.2977754000000061,-0.715232499999999,0.8116754000000057,4.117347500000008,0.6480754000000033,-0.40845249999999567,0.9133753999999996,0.041547500000007176,-0.8786245999999949,4.205147499999995,1,1,0,0,0
Rural Regional College,NPRC-Elk/Cameron,Off-Campus Operation,Elk,15857.0,,,,Rural Regional College - Off-Campus,,,,,,,,,,,,,,,,,,,1,0,0,1,1
Private College/University,Mercyhurst University,Main Campus Location,Erie,16546.0,"501 E 38th St, Erie, PA 16546",42.1041456,-80.0538851,Private College/University - Main Campus,,,,,,,,,2.1515456000000057,-4.889265100000003,1.6654456000000053,-0.056685099999995714,1.501845600000003,-4.5824850999999995,1.7671455999999992,-4.132485099999997,-0.02485439999999528,0.031114899999991508,1,0,0,1,0
Private College/University,Allegheny College,Main Campus Location,Crawford,16335.0,"520 N Main St, Meadville, PA 16335",41.6480894,-80.1452977,Private College/University - Main Campus,,,,,,,,,1.6954894000000067,-4.980677700000001,1.2093894000000063,-0.1480976999999939,1.0457894000000039,-4.673897699999998,1.3110894000000002,-4.223897699999995,-0.4809105999999943,-0.06029770000000667,1,0,0,1,0
Community College,HACC-Lebanon,Branch Campus,Lebanon,17042.0,"735 Cumberland St., Lebanon, PA 17042",40.3393252,-76.4231825,Community College - Branch Campus,,,,,,,,,0.38672520000000077,-1.2585624999999965,-0.09937479999999965,3.5740175000000107,-0.26297480000000206,-0.9517824999999931,0.002325199999994254,-0.5017824999999903,-1.7896748000000002,3.661817499999998,0,1,1,0,1
Private College/University,University of Pennsylvania,Main Campus Location,Philadelphia,19104.0,"University of Pennsylvania Philadelphia, PA 19104",39.9493382,-75.189644,Private College/University - Main Campus,,,,,,,,,-0.003261799999997095,-0.025024000000001934,-0.4893617999999975,4.807556000000005,-0.6529617999999999,0.28175600000000145,-0.3876618000000036,0.7317560000000043,-2.179661799999998,4.8953559999999925,0,1,1,0,0
Private College/University,Bryn Mawr College,Main Campus Location,Montgomery,19010.0,"101 N Merion Ave, Bryn Mawr, PA 19010",40.024734,-75.318911,Private College/University - Main Campus,,,,,,,,,0.07213400000000547,-0.15429100000000062,-0.41396599999999495,4.678289000000007,-0.5775659999999974,0.15248900000000276,-0.31226600000000104,0.6024890000000056,-2.1042659999999955,4.766088999999994,0,1,1,0,0
Community College,Erie CC-Corry,Off-Campus Operation,Erie,16407.0,"221 North Center Street, Corry, PA 16407",41.9238101,-79.6415237,Community College - Off-Campus,,,,,,,,,1.9712101000000004,-4.476903699999994,1.4851101,0.35567630000001316,1.3215100999999976,-4.170123699999991,1.586810099999994,-3.720123699999988,-0.2051899000000006,0.4434763000000004,1,0,0,1,0
Private College/University,Messiah University,Main Campus Location,Cumberland,17055.0,"One College Ave., Mechanicsburg, PA 17055",40.20372,-77.004871,Private College/University - Main Campus,,,,,,,,,0.25112000000000023,-1.840250999999995,-0.2349800000000002,2.9923290000000122,-0.3985800000000026,-1.5334709999999916,-0.13328000000000628,-1.0834709999999887,-1.9252800000000008,3.0801289999999995,0,0,1,0,1
Private College/University,Johnson College,Main Campus Location,Lackawanna,18508.0,"3427 N Main Ave, Scranton, PA 18508",41.4492937,-75.6395236,Private College/University - Main Campus,,,,,,,,,1.4966937000000016,-0.47490360000000464,1.0105937000000011,4.357676400000003,0.8469936999999987,-0.16812360000000126,1.112293699999995,0.2818764000000016,-0.6797062999999994,4.44547639999999,1,1,0,0,0
State-Related Commonwealth University,Temple University-Ambler,Off-Campus Operation,Bucks,19002.0,"580 Meetinghouse Road, Ambler, PA 19002",40.165113,-75.193953,State-Related Commonwealth University - Off-Campus,,,,,,,,,0.21251300000000128,-0.02933299999999406,-0.27358699999999914,4.803247000000013,-0.43718700000000155,0.2774470000000093,-0.17188700000000523,0.7274470000000122,-1.9638869999999997,4.891047,0,1,1,0,0
Private College/University,Waynesburg University,Main Campus Location,Greene,15370.0,"51 W College St, Waynesburg, PA 15370",39.8992735,-80.1842403,Private College/University - Main Campus,,,,,,,,,-0.05332649999999717,-5.0196203,-0.5394264999999976,-0.1870402999999925,-0.7030265,-4.712840299999996,-0.4377265000000037,-4.2628402999999935,-2.229726499999998,-0.09924030000000528,0,0,1,1,0
Private College/University,Lehigh University,Main Campus Location,Northampton,18015.0,"27 Memorial Dr W, Bethlehem, PA 18015",40.6073257,-75.378565,Private College/University - Main Campus,,,,,,,,,0.6547257000000002,-0.2139449999999954,0.16862569999999977,4.618635000000012,0.005025699999997357,0.092835000000008,0.2703256999999937,0.5428350000000108,-1.5216743000000008,4.706434999999999,0,1,0,0,0
Community College,CCP-Northeast,Off-Campus Operation,Philadelphia,19154.0,"12901 Townsend Road, Philadelphia PA 19154",40.1060705,-74.9779168,Community College - Off-Campus,,,,,,,,,0.1534705000000045,0.18670319999999663,-0.3326294999999959,5.019283200000004,-0.4962294999999983,0.4934832,-0.230929500000002,0.9434832000000029,-2.0229294999999965,5.107083199999991,0,1,1,0,0
